filename,patience,epochs,seq_len,hidden_size,batch_size,lr
1.csv,41,303,16,25,54,0.00142656806358334
2.csv,62,217,16,14,56,0.00119788977632466
3.csv,72,443,15,12,13,0.00161928585931132
4.csv,61,260,9,19,77,0.0142719892617795
5.csv,16,463,6,22,20,0.0139041920858172
6.csv,63,500,5,21,70,0.010298652619872
7.csv,47,140,13,14,57,0.0178761700438992
8.csv,100,305,3,10,29,0.00128782987733639
9.csv,43,227,16,22,56,0.0232016283963137
10.csv,72,416,14,19,79,0.00268807433655172
11.csv,64,325,5,10,60,0.0871690882124284
12.csv,97,479,16,24,79,0.0442318622582622
13.csv,67,166,2,10,73,0.00124111050852737
14.csv,60,125,3,19,72,0.021100589139107
15.csv,75,127,20,17,52,0.0355056588827522
